Hubei,5917,8,2,10,67781,3056
Guangdong,11346,3,1,0,1356,8
Henan,9605,1,0,0,1273,22
Zhejiang,5737,0,0,0,1215,1
Hunan,6899,0,0,0,1018,4
Anhui,6324,0,0,0,990,6
Jiangxi,4648,0,0,0,935,1
Shandong,10047,1,0,0,760,6
Jiangsu,8051,0,0,0,631,0
Chongqing,3102,0,0,0,576,6
Sichuan,8341,0,0,0,539,3
Heilongjiang,3773,0,0,0,482,13
Beijing,2154,0,5,0,435,8
Shanghai,2424,0,19,0,344,3
Hebei,7556,0,0,0,318,6
Fujian,3941,0,0,0,296,1
Guangxi,4926,0,0,0,252,2
Shaanxi,3864,0,0,1,245,2
Yunnan,4830,0,1,0,174,2
Hainan,934,0,1,0,168,6
Guizhou,3600,0,0,0,146,2
Tianjin,1560,0,4,0,136,3
Shanxi,3718,0,0,0,133,0
HongKongSAR,745,9,0,0,129,3
Gansu,2637,2,0,0,127,2
Liaoning,4359,0,0,0,125,1
Jilin,2704,0,0,0,93,1
Xinjiang,2487,0,0,0,76,3
Ningxia,688,0,0,0,75,0
InnerMongolia,2534,0,0,0,75,1
Taipeiandenvirons,2359,2,0,0,49,1
Qinghai,603,0,0,0,18,0
MacaoSAR,66,0,0,0,10,0
Xizang,344,0,0,0,1,0
RepublicofKorea,7869,114,66,6,Local transmission,0
Japan,620,52,15,3,Local transmission,0
Singapore,178,12,0,0,Local transmission,0
Malaysia,129,0,0,0,Local transmission,1
Australia,122,10,3,0,Local transmission,0
Philippines,52,3,2,1,Local transmission,0
VietNam,39,4,0,0,Local transmission,0
BruneiDarussalam,12,11,0,0,Local transmission,0
NewZealand,5,0,0,0,Local transmission,5
Cambodia,3,0,0,0,Local transmission,1
Mongolia,1,0,0,0,Imported cases only,2
FrenchPolynesia,1,1,0,0,Imported cases only,0
Italy,12462,2313,827,196,Local transmission,0
France,2269,495,48,15,Local transmission,0
Spain,2140,501,48,12,Local transmission,0
Germany,1567,271,3,1,Local transmission,0
Switzerland,645,154,4,1,Local transmission,0
Denmark,615,353,0,0,Local transmission,0
Netherlands,503,121,5,1,Local transmission,0
Sweden,461,135,0,0,Local transmission,0
TheUnitedKingdom,460,87,6,0,Local transmission,0
Belgium,314,47,0,0,Local transmission,0
Austria,302,120,0,0,Local transmission,0
Norway,277,0,0,0,Local transmission,1
Greece,98,9,1,1,Local transmission,0
Czechia,94,33,0,0,Local transmission,0
Israel,75,0,0,0,Local transmission,1
SanMarino,63,0,2,0,Local transmission,1
Iceland,61,0,0,0,Local transmission,2
Slovenia,57,26,0,0,Local transmission,0
Romania,48,23,0,0,Local transmission,0
